Shirt,Player,Team,Formation,Match_x,Nation,Age,Min,Shot Stopping|SoTA,Shot Stopping|GA,Shot Stopping|Saves,Shot Stopping|Save%,Shot Stopping|PSxG,Launched|Cmp,Launched|Att,Launched|Cmp%,Passes|Att,Passes|Thr,Passes|Launch%,Passes|AvgLen,Goal Kicks|Att,Goal Kicks|Launch%,Goal Kicks|AvgLen,Crosses|Opp,Crosses|Stp,Crosses|Stp%,Sweeper|#OPA,Sweeper|AvgDist,Match_y
25,Andrés Fernández,Huesca,4-4-2,/en/matches/93673585/Real-Madrid-Huesca-October-31-2020-La-Liga,es ESP,33-319,90,6,4,2,33.3,2.0,1,10,10.0,29,7,20.7,28.0,8,50.0,42.0,10,1,10.0,0,9.5,/en/matches/93673585/Real-Madrid-Huesca-October-31-2020-La-Liga
25,Andrés Fernández,Huesca,4-4-2,/en/matches/52688e00/Huesca-Eibar-November-7-2020-La-Liga,es ESP,33-326,90,3,1,2,66.7,1.0,5,21,23.8,45,10,44.4,37.3,6,16.7,29.8,12,0,0.0,1,12.2,/en/matches/52688e00/Huesca-Eibar-November-7-2020-La-Liga
1,Marko Dmitrović,Eibar,4-2-3-1,/en/matches/52688e00/Huesca-Eibar-November-7-2020-La-Liga,rs SRB,28-288,90,5,1,4,80.0,1.5,8,29,27.6,26,2,84.6,67.5,9,77.8,68.3,20,1,5.0,1,15.6,/en/matches/52688e00/Huesca-Eibar-November-7-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga,es ESP,27-168,90,5,1,4,80.0,0.9,8,20,40.0,33,5,57.6,44.2,2,50.0,50.0,7,1,14.3,4,19.3,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga
25,Andrés Fernández,Huesca,4-4-2,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga,es ESP,33-339,90,7,1,6,85.7,1.2,3,26,11.5,29,3,48.3,40.3,14,85.7,56.5,24,1,4.2,0,12.0,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga
25,Andrés Fernández,Huesca,4-4-2,/en/matches/48c2c10e/Huesca-Sevilla-November-28-2020-La-Liga,es ESP,33-347,90,4,1,3,75.0,1.3,8,19,42.1,31,5,51.6,42.4,8,37.5,34.6,11,0,0.0,0,14.4,/en/matches/48c2c10e/Huesca-Sevilla-November-28-2020-La-Liga
1,Tomáš Vaclík,Sevilla,4-3-3,/en/matches/48c2c10e/Huesca-Sevilla-November-28-2020-La-Liga,cz CZE,31-244,90,1,0,1,100.0,0.0,4,8,50.0,17,5,47.1,35.5,1,0.0,22.0,5,0,0.0,0,14.0,/en/matches/48c2c10e/Huesca-Sevilla-November-28-2020-La-Liga
1,Rui Silva,Granada,4-2-3-1,/en/matches/9bfc09f8/Granada-Huesca-December-6-2020-La-Liga,pt POR,26-303,90,7,3,4,57.1,2.3,8,17,47.1,32,4,43.8,39.5,6,50.0,38.7,10,0,0.0,0,13.0,/en/matches/9bfc09f8/Granada-Huesca-December-6-2020-La-Liga
1,Álvaro Fernández,Huesca,4-1-4-1,/en/matches/9bfc09f8/Granada-Huesca-December-6-2020-La-Liga,es ESP,22-237,90,6,3,2,50.0,2.6,7,18,38.9,26,4,57.7,43.0,8,37.5,39.4,11,1,9.1,0,11.5,/en/matches/9bfc09f8/Granada-Huesca-December-6-2020-La-Liga
1,Álvaro Fernández,Huesca,4-3-3,/en/matches/bf384210/Huesca-Alaves-December-12-2020-La-Liga,es ESP,22-243,90,1,0,1,100.0,0.0,2,17,11.8,39,6,35.9,34.9,6,50.0,47.3,2,1,50.0,0,17.6,/en/matches/bf384210/Huesca-Alaves-December-12-2020-La-Liga
1,Fernando Pacheco,Alavés,4-4-2,/en/matches/bf384210/Huesca-Alaves-December-12-2020-La-Liga,es ESP,28-208,90,3,1,2,66.7,0.7,8,20,40.0,18,1,77.8,51.8,12,50.0,44.1,11,1,9.1,0,10.3,/en/matches/bf384210/Huesca-Alaves-December-12-2020-La-Liga
1,Unai Simón,Athletic,Club,/en/matches/fe536378/Athletic-Club-Huesca-December-18-2020-La-Liga,es ESP,23-190,90,1,0,1,100.0,0.1,7,8,87.5,22,7,31.8,29.4,1,100.0,77.0,9,1,11.1,0,10.5,/en/matches/fe536378/Athletic-Club-Huesca-December-18-2020-La-Liga
1,Álvaro Fernández,Huesca,4-3-3,/en/matches/fe536378/Athletic-Club-Huesca-December-18-2020-La-Liga,es ESP,22-249,90,2,2,1,50.0,1.6,10,26,38.5,44,6,50.0,39.6,8,50.0,42.9,13,2,15.4,0,9.2,/en/matches/fe536378/Athletic-Club-Huesca-December-18-2020-La-Liga
1,Álvaro Fernández,Huesca,4-3-3,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga,es ESP,22-253,90,1,1,0,0.0,0.6,3,7,42.9,15,3,40.0,38.5,7,14.3,38.3,8,0,0.0,1,24.0,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga,es ESP,29-233,90,1,1,1,100.0,1.3,8,19,42.1,27,4,55.6,43.5,9,44.4,40.1,16,1,6.3,1,15.3,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga
13,Rubén Blanco,Celta,Vigo,/en/matches/33dd6d9f/Celta-Vigo-Huesca-December-30-2020-La-Liga,es ESP,25-158,90,6,1,5,83.3,1.7,8,14,57.1,31,3,35.5,34.1,5,60.0,45.4,11,2,18.2,0,17.7,/en/matches/33dd6d9f/Celta-Vigo-Huesca-December-30-2020-La-Liga
1,Álvaro Fernández,Huesca,4-3-3,/en/matches/33dd6d9f/Celta-Vigo-Huesca-December-30-2020-La-Liga,es ESP,22-261,90,6,2,4,66.7,1.3,3,9,33.3,32,3,18.8,28.0,7,42.9,39.3,7,1,14.3,2,25.8,/en/matches/33dd6d9f/Celta-Vigo-Huesca-December-30-2020-La-Liga
1,Jaume Doménech,Valencia,4-4-2,/en/matches/49d3b582/Valencia-Levante-September-13-2020-La-Liga,es ESP,29-313,90,8,2,6,75.0,3.0,13,27,48.1,22,4,77.3,49.8,16,62.5,49.7,12,0,0.0,0,9.6,/en/matches/49d3b582/Valencia-Levante-September-13-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/49d3b582/Valencia-Levante-September-13-2020-La-Liga,es ESP,29-133,90,8,4,3,50.0,3.4,3,9,33.3,20,6,35.0,33.8,7,28.6,27.1,8,0,0.0,0,13.3,/en/matches/49d3b582/Valencia-Levante-September-13-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga,es ESP,27-114,90,4,3,1,25.0,2.6,15,34,44.1,34,6,67.6,48.2,11,100.0,64.0,10,1,10.0,2,18.1,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga,es ESP,29-147,90,3,1,2,66.7,0.2,2,17,11.8,17,2,76.5,53.1,9,44.4,31.4,7,1,14.3,2,13.8,/en/matches/3e106d0a/Osasuna-Levante-September-27-2020-La-Liga
13,Yassine Bounou,Sevilla,4-3-3,/en/matches/3dcf270b/Sevilla-Levante-October-1-2020-La-Liga,ma MAR,29-179,90,1,0,1,100.0,0.0,4,9,44.4,21,1,33.3,31.9,3,66.7,41.3,3,0,0.0,0,15.5,/en/matches/3dcf270b/Sevilla-Levante-October-1-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/3dcf270b/Sevilla-Levante-October-1-2020-La-Liga,es ESP,29-151,90,2,1,1,50.0,0.5,7,20,35.0,20,3,75.0,45.0,15,33.3,26.9,9,0,0.0,0,14.0,/en/matches/3dcf270b/Sevilla-Levante-October-1-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga,es ESP,29-154,90,3,2,1,33.3,1.4,3,8,37.5,29,6,20.7,28.2,11,18.2,26.5,11,1,9.1,1,10.8,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga,be BEL,28-146,90,4,0,4,100.0,0.2,3,18,16.7,36,4,36.1,37.1,10,50.0,46.9,8,0,0.0,2,20.4,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga
1,Unai Simón,Athletic,Club,/en/matches/0793d671/Athletic-Club-Levante-October-18-2020-La-Liga,es ESP,23-129,90,1,0,1,100.0,0.0,10,15,66.7,19,5,42.1,38.9,7,100.0,76.4,8,0,0.0,0,12.2,/en/matches/0793d671/Athletic-Club-Levante-October-18-2020-La-Liga
1,Koke Vegas,Levante,4-4-2,/en/matches/0793d671/Athletic-Club-Levante-October-18-2020-La-Liga,es ESP,25-021,90,4,2,2,50.0,2.6,2,11,18.2,18,4,44.4,37.7,11,27.3,30.5,7,0,0.0,1,18.8,/en/matches/0793d671/Athletic-Club-Levante-October-18-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/a3eca3e6/Levante-Celta-Vigo-October-26-2020-La-Liga,es ESP,29-176,90,3,1,2,66.7,1.2,5,11,45.5,14,5,64.3,42.9,4,50.0,47.8,11,1,9.1,0,14.0,/en/matches/a3eca3e6/Levante-Celta-Vigo-October-26-2020-La-Liga
