Shirt,Player,Team,Formation,Match_x,Nation,Age,Min,Shot Stopping|SoTA,Shot Stopping|GA,Shot Stopping|Saves,Shot Stopping|Save%,Shot Stopping|PSxG,Launched|Cmp,Launched|Att,Launched|Cmp%,Passes|Att,Passes|Thr,Passes|Launch%,Passes|AvgLen,Goal Kicks|Att,Goal Kicks|Launch%,Goal Kicks|AvgLen,Crosses|Opp,Crosses|Stp,Crosses|Stp%,Sweeper|#OPA,Sweeper|AvgDist,Match_y
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/38da970e/Osasuna-Athletic-Club-October-24-2020-La-Liga,es ESP,27-141,90,6,0,6,100.0,1.5,18,26,69.2,26,2,80.8,58.5,5,100.0,71.0,16,3,18.8,1,15.1,/en/matches/38da970e/Osasuna-Athletic-Club-October-24-2020-La-Liga
1,Unai Simón,Athletic,Club,/en/matches/38da970e/Osasuna-Athletic-Club-October-24-2020-La-Liga,es ESP,23-135,90,1,1,1,100.0,0.9,4,23,17.4,38,5,47.4,44.2,5,100.0,73.0,10,3,30.0,0,13.2,/en/matches/38da970e/Osasuna-Athletic-Club-October-24-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/649ad5eb/Osasuna-Atletico-Madrid-October-31-2020-La-Liga,es ESP,27-148,90,5,3,3,60.0,2.0,15,27,55.6,31,1,71.0,53.2,5,100.0,65.6,5,0,0.0,1,13.4,/en/matches/649ad5eb/Osasuna-Atletico-Madrid-October-31-2020-La-Liga
13,Jan Oblak,Atlético,Madrid,/en/matches/649ad5eb/Osasuna-Atletico-Madrid-October-31-2020-La-Liga,si SVN,27-298,90,3,1,2,66.7,1.0,8,22,36.4,26,2,50.0,40.6,14,64.3,49.6,13,1,7.7,0,17.7,/en/matches/649ad5eb/Osasuna-Atletico-Madrid-October-31-2020-La-Liga
13,Yassine Bounou,Sevilla,4-3-3,/en/matches/3e030894/Sevilla-Osasuna-November-7-2020-La-Liga,ma MAR,29-216,90,2,0,2,100.0,0.0,4,14,28.6,32,3,25.0,29.5,8,75.0,50.8,9,0,0.0,1,21.5,/en/matches/3e030894/Sevilla-Osasuna-November-7-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/3e030894/Sevilla-Osasuna-November-7-2020-La-Liga,es ESP,27-155,90,1,1,1,100.0,1.1,15,28,53.6,24,0,75.0,53.8,11,90.9,62.0,13,1,7.7,0,10.8,/en/matches/3e030894/Sevilla-Osasuna-November-7-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga,es ESP,27-168,90,5,1,4,80.0,0.9,8,20,40.0,33,5,57.6,44.2,2,50.0,50.0,7,1,14.3,4,19.3,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga
25,Andrés Fernández,Huesca,4-4-2,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga,es ESP,33-339,90,7,1,6,85.7,1.2,3,26,11.5,29,3,48.3,40.3,14,85.7,56.5,24,1,4.2,0,12.0,/en/matches/052141c9/Osasuna-Huesca-November-20-2020-La-Liga
1,Marc-André ter Stegen,Barcelona,4-3-3,/en/matches/10b5cb6c/Barcelona-Osasuna-November-29-2020-La-Liga,de GER,28-213,90,5,0,5,100.0,0.8,7,9,77.8,36,7,19.4,26.3,6,33.3,35.8,12,1,8.3,1,19.7,/en/matches/10b5cb6c/Barcelona-Osasuna-November-29-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/10b5cb6c/Barcelona-Osasuna-November-29-2020-La-Liga,es ESP,27-177,90,10,4,6,60.0,4.3,14,22,63.6,24,2,54.2,43.5,9,100.0,67.3,8,1,12.5,4,19.7,/en/matches/10b5cb6c/Barcelona-Osasuna-November-29-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/fd627a61/Osasuna-Real-Betis-December-6-2020-La-Liga,es ESP,27-184,90,5,2,3,60.0,1.6,14,34,41.2,35,2,77.1,50.2,7,100.0,60.1,8,1,12.5,5,20.4,/en/matches/fd627a61/Osasuna-Real-Betis-December-6-2020-La-Liga
1,Joel Robles,Betis,4-4-2,/en/matches/fd627a61/Osasuna-Real-Betis-December-6-2020-La-Liga,es ESP,30-172,90,1,0,1,100.0,0.3,4,27,14.8,25,4,68.0,52.7,11,90.9,64.6,15,3,20.0,0,14.7,/en/matches/fd627a61/Osasuna-Real-Betis-December-6-2020-La-Liga
1,Jordi Masip,Valladolid,4-4-2,/en/matches/0d074d58/Valladolid-Osasuna-December-11-2020-La-Liga,es ESP,31-343,90,6,2,4,66.7,2.0,5,28,17.9,19,1,94.7,62.3,10,100.0,69.3,18,0,0.0,0,8.7,/en/matches/0d074d58/Valladolid-Osasuna-December-11-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/0d074d58/Valladolid-Osasuna-December-11-2020-La-Liga,es ESP,27-189,90,5,3,3,60.0,3.0,15,28,53.6,30,2,80.0,50.9,4,100.0,63.5,9,0,0.0,1,24.5,/en/matches/0d074d58/Valladolid-Osasuna-December-11-2020-La-Liga
13,Rubén,Osasuna,4-4-2,/en/matches/3575a467/Osasuna-Villarreal-December-19-2020-La-Liga,es ESP,36-180,90,7,3,3,57.1,3.1,22,31,71.0,26,1,88.5,59.6,8,100.0,66.3,5,0,0.0,2,13.3,/en/matches/3575a467/Osasuna-Villarreal-December-19-2020-La-Liga
1,Sergio Asenjo,Villarreal,4-3-3,/en/matches/3575a467/Osasuna-Villarreal-December-19-2020-La-Liga,es ESP,31-174,90,1,1,1,100.0,1.1,5,14,35.7,25,8,32.0,34.0,8,75.0,53.9,12,1,8.3,0,16.0,/en/matches/3575a467/Osasuna-Villarreal-December-19-2020-La-Liga
13,Édgar Badía,Elche,4-1-4-1,/en/matches/692ed77c/Elche-Osasuna-December-22-2020-La-Liga,es ESP,28-314,90,6,2,4,66.7,1.9,10,12,83.3,39,5,17.9,23.6,10,50.0,28.7,6,0,0.0,1,13.7,/en/matches/692ed77c/Elche-Osasuna-December-22-2020-La-Liga
13,Rubén,Osasuna,4-4-2,/en/matches/692ed77c/Elche-Osasuna-December-22-2020-La-Liga,es ESP,36-183,90,2,2,0,0.0,1.8,9,21,42.9,18,1,77.8,49.7,7,100.0,65.0,14,1,7.1,1,28.0,/en/matches/692ed77c/Elche-Osasuna-December-22-2020-La-Liga
13,Rubén,Osasuna,4-4-2,/en/matches/6af627e0/Osasuna-Alaves-December-31-2020-La-Liga,es ESP,36-192,7,0,0,0,,0.0,2,2,100.0,2,0,100.0,58.5,0,,,0,0,,0,14.0,/en/matches/6af627e0/Osasuna-Alaves-December-31-2020-La-Liga
1,Sergio Herrera,Osasuna,4-4-2,/en/matches/6af627e0/Osasuna-Alaves-December-31-2020-La-Liga,es ESP,27-209,78,0,1,0,,1.0,12,29,41.4,19,0,100.0,66.7,10,100.0,67.6,14,0,0.0,2,17.8,/en/matches/6af627e0/Osasuna-Alaves-December-31-2020-La-Liga
1,Fernando Pacheco,Alavés,4-4-2,/en/matches/6af627e0/Osasuna-Alaves-December-31-2020-La-Liga,es ESP,28-227,90,2,1,1,50.0,0.1,5,11,45.5,17,3,47.1,42.9,8,37.5,38.5,5,0,0.0,1,18.5,/en/matches/6af627e0/Osasuna-Alaves-December-31-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga,es ESP,25-180,90,4,0,4,100.0,0.5,10,19,52.6,29,3,48.3,37.1,7,71.4,48.6,12,0,0.0,2,19.7,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga,be BEL,28-132,90,1,0,1,100.0,0.1,2,9,22.2,30,4,20.0,33.1,6,50.0,37.3,5,0,0.0,0,8.0,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
1,Joel Robles,Betis,4-2-3-1,/en/matches/eca849a3/Real-Betis-Real-Madrid-September-26-2020-La-Liga,es ESP,30-101,90,2,3,1,0.0,2.1,8,22,36.4,25,2,72.0,53.3,8,50.0,43.5,10,0,0.0,1,17.4,/en/matches/eca849a3/Real-Betis-Real-Madrid-September-26-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/eca849a3/Real-Betis-Real-Madrid-September-26-2020-La-Liga,be BEL,28-138,90,5,2,3,60.0,1.6,1,4,25.0,27,4,11.1,29.6,8,12.5,29.0,4,1,25.0,0,5.0,/en/matches/eca849a3/Real-Betis-Real-Madrid-September-26-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/9d7e2859/Real-Madrid-Valladolid-September-30-2020-La-Liga,be BEL,28-142,90,5,0,5,100.0,0.9,3,8,37.5,30,6,10.0,30.0,9,55.6,44.8,11,0,0.0,1,18.7,/en/matches/9d7e2859/Real-Madrid-Valladolid-September-30-2020-La-Liga
13,Roberto,Valladolid,4-2-3-1,/en/matches/9d7e2859/Real-Madrid-Valladolid-September-30-2020-La-Liga,es ESP,34-233,90,5,1,4,80.0,1.6,7,21,33.3,21,5,57.1,51.0,11,81.8,66.7,11,2,18.2,1,14.2,/en/matches/9d7e2859/Real-Madrid-Valladolid-September-30-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga,es ESP,29-154,90,3,2,1,33.3,1.4,3,8,37.5,29,6,20.7,28.2,11,18.2,26.5,11,1,9.1,1,10.8,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga,be BEL,28-146,90,4,0,4,100.0,0.2,3,18,16.7,36,4,36.1,37.1,10,50.0,46.9,8,0,0.0,2,20.4,/en/matches/9364ca86/Levante-Real-Madrid-October-4-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/edd4d083/Real-Madrid-Cadiz-October-17-2020-La-Liga,be BEL,28-159,90,4,1,3,75.0,1.0,2,3,66.7,20,9,0.0,16.0,10,30.0,26.8,10,1,10.0,0,15.2,/en/matches/edd4d083/Real-Madrid-Cadiz-October-17-2020-La-Liga
1,Jeremías Ledesma,Cádiz,4-4-2,/en/matches/edd4d083/Real-Madrid-Cadiz-October-17-2020-La-Liga,ar ARG,27-247,90,1,0,1,100.0,0.0,15,42,35.7,24,0,100.0,70.7,18,100.0,73.7,15,5,33.3,0,12.2,/en/matches/edd4d083/Real-Madrid-Cadiz-October-17-2020-La-Liga
13,Neto,Barcelona,4-4-2,/en/matches/9b07dcbc/El-Clasico-Barcelona-Real-Madrid-October-24-2020-La-Liga,br BRA,31-097,90,8,3,6,75.0,3.5,3,4,75.0,10,3,20.0,27.6,9,22.2,27.9,6,0,0.0,0,15.5,/en/matches/9b07dcbc/El-Clasico-Barcelona-Real-Madrid-October-24-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/9b07dcbc/El-Clasico-Barcelona-Real-Madrid-October-24-2020-La-Liga,be BEL,28-166,90,4,1,3,75.0,1.0,1,6,16.7,25,9,12.0,23.5,6,50.0,51.0,4,0,0.0,1,15.9,/en/matches/9b07dcbc/El-Clasico-Barcelona-Real-Madrid-October-24-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/93673585/Real-Madrid-Huesca-October-31-2020-La-Liga,be BEL,28-173,90,2,1,1,50.0,0.9,3,6,50.0,23,5,17.4,28.3,7,28.6,34.0,7,1,14.3,2,24.2,/en/matches/93673585/Real-Madrid-Huesca-October-31-2020-La-Liga
25,Andrés Fernández,Huesca,4-4-2,/en/matches/93673585/Real-Madrid-Huesca-October-31-2020-La-Liga,es ESP,33-319,90,6,4,2,33.3,2.0,1,10,10.0,29,7,20.7,28.0,8,50.0,42.0,10,1,10.0,0,9.5,/en/matches/93673585/Real-Madrid-Huesca-October-31-2020-La-Liga
1,Jaume Doménech,Valencia,4-4-2,/en/matches/67626947/Valencia-Real-Madrid-November-8-2020-La-Liga,es ESP,30-003,90,6,1,5,83.3,1.6,9,21,42.9,18,3,55.6,45.1,11,100.0,61.8,21,1,4.8,1,13.0,/en/matches/67626947/Valencia-Real-Madrid-November-8-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/67626947/Valencia-Real-Madrid-November-8-2020-La-Liga,be BEL,28-181,90,1,4,0,0.0,2.9,4,6,66.7,23,7,26.1,31.7,3,0.0,22.3,5,1,20.0,0,17.3,/en/matches/67626947/Valencia-Real-Madrid-November-8-2020-La-Liga
1,Sergio Asenjo,Villarreal,4-4-2,/en/matches/3428445b/Villarreal-Real-Madrid-November-21-2020-La-Liga,es ESP,31-146,90,1,1,0,0.0,0.2,4,6,66.7,25,3,20.0,28.3,1,100.0,65.0,6,2,33.3,0,9.5,/en/matches/3428445b/Villarreal-Real-Madrid-November-21-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/3428445b/Villarreal-Real-Madrid-November-21-2020-La-Liga,be BEL,28-194,90,0,1,0,,0.9,6,11,54.5,35,6,22.9,31.7,9,33.3,35.2,11,2,18.2,0,13.0,/en/matches/3428445b/Villarreal-Real-Madrid-November-21-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/8514945b/Real-Madrid-Alaves-November-28-2020-La-Liga,be BEL,28-201,90,5,2,4,80.0,1.9,1,4,25.0,14,5,21.4,30.7,1,100.0,42.0,4,1,25.0,0,11.3,/en/matches/8514945b/Real-Madrid-Alaves-November-28-2020-La-Liga
1,Fernando Pacheco,Alavés,4-4-2,/en/matches/8514945b/Real-Madrid-Alaves-November-28-2020-La-Liga,es ESP,28-194,90,8,1,7,87.5,2.3,12,23,52.2,23,4,60.9,45.1,16,56.3,42.8,18,2,11.1,0,9.0,/en/matches/8514945b/Real-Madrid-Alaves-November-28-2020-La-Liga
13,Yassine Bounou,Sevilla,4-3-3,/en/matches/6b44d551/Sevilla-Real-Madrid-December-5-2020-La-Liga,ma MAR,29-244,90,2,1,2,50.0,0.9,2,8,25.0,23,7,13.0,28.3,7,71.4,48.0,6,0,0.0,1,15.4,/en/matches/6b44d551/Sevilla-Real-Madrid-December-5-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/6b44d551/Sevilla-Real-Madrid-December-5-2020-La-Liga,be BEL,28-208,90,2,0,2,100.0,0.3,4,19,21.1,30,6,50.0,40.6,6,66.7,52.8,17,2,11.8,0,11.7,/en/matches/6b44d551/Sevilla-Real-Madrid-December-5-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/2d8a4ddd/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-December-12-2020-La-Liga,be BEL,28-215,90,1,0,1,100.0,0.2,2,12,16.7,36,7,27.8,32.7,5,40.0,43.8,6,0,0.0,2,17.6,/en/matches/2d8a4ddd/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-December-12-2020-La-Liga
13,Jan Oblak,Atlético,Madrid,/en/matches/2d8a4ddd/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-December-12-2020-La-Liga,si SVN,27-340,90,3,2,1,33.3,1.3,6,10,60.0,14,2,35.7,36.0,7,71.4,48.4,5,0,0.0,0,8.0,/en/matches/2d8a4ddd/El-Derbi-Madrileno-Real-Madrid-Atletico-Madrid-December-12-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/ad50de94/Real-Madrid-Athletic-Club-December-15-2020-La-Liga,be BEL,28-218,90,4,1,3,75.0,1.1,4,4,100.0,20,6,15.0,28.5,6,16.7,30.3,3,1,33.3,0,11.7,/en/matches/ad50de94/Real-Madrid-Athletic-Club-December-15-2020-La-Liga
1,Unai Simón,Athletic,Club,/en/matches/ad50de94/Real-Madrid-Athletic-Club-December-15-2020-La-Liga,es ESP,23-187,90,5,3,2,40.0,2.6,11,32,34.4,30,5,66.7,49.4,12,100.0,71.1,11,0,0.0,0,6.2,/en/matches/ad50de94/Real-Madrid-Athletic-Club-December-15-2020-La-Liga
1,Marko Dmitrović,Eibar,4-4-2,/en/matches/1946dc03/Eibar-Real-Madrid-December-20-2020-La-Liga,rs SRB,28-331,90,5,3,2,40.0,1.8,12,30,40.0,35,2,71.4,56.2,5,100.0,80.2,7,1,14.3,0,15.4,/en/matches/1946dc03/Eibar-Real-Madrid-December-20-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/1946dc03/Eibar-Real-Madrid-December-20-2020-La-Liga,be BEL,28-223,90,3,1,2,66.7,0.5,5,23,21.7,48,7,37.5,37.4,9,55.6,46.2,14,2,14.3,0,10.4,/en/matches/1946dc03/Eibar-Real-Madrid-December-20-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/d98e1eba/Real-Madrid-Granada-December-23-2020-La-Liga,be BEL,28-226,90,2,0,2,100.0,0.3,4,11,36.4,34,6,23.5,33.3,7,42.9,43.9,9,0,0.0,0,16.3,/en/matches/d98e1eba/Real-Madrid-Granada-December-23-2020-La-Liga
1,Rui Silva,Granada,4-1-4-1,/en/matches/d98e1eba/Real-Madrid-Granada-December-23-2020-La-Liga,pt POR,26-320,90,6,2,4,66.7,2.0,9,25,36.0,27,0,63.0,48.5,8,100.0,64.9,9,0,0.0,0,16.3,/en/matches/d98e1eba/Real-Madrid-Granada-December-23-2020-La-Liga
13,Édgar Badía,Elche,4-5-1,/en/matches/7ae82df2/Elche-Real-Madrid-December-30-2020-La-Liga,es ESP,28-322,90,6,1,4,83.3,0.8,9,17,52.9,33,6,36.4,34.0,8,62.5,43.5,19,2,10.5,0,9.6,/en/matches/7ae82df2/Elche-Real-Madrid-December-30-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/7ae82df2/Elche-Real-Madrid-December-30-2020-La-Liga,be BEL,28-233,90,2,1,2,100.0,0.8,4,4,100.0,22,6,9.1,26.9,4,50.0,40.5,6,1,16.7,2,19.3,/en/matches/7ae82df2/Elche-Real-Madrid-December-30-2020-La-Liga
1,Jordi Masip,Valladolid,4-2-3-1,/en/matches/36e547b6/Valladolid-Real-Sociedad-September-13-2020-La-Liga,es ESP,31-254,90,2,1,1,50.0,0.3,10,30,33.3,27,3,59.3,48.6,15,93.3,66.5,14,0,0.0,0,9.8,/en/matches/36e547b6/Valladolid-Real-Sociedad-September-13-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/36e547b6/Valladolid-Real-Sociedad-September-13-2020-La-Liga,es ESP,25-173,90,2,1,1,50.0,0.4,4,5,80.0,19,4,21.1,29.1,8,12.5,24.9,8,1,12.5,1,16.0,/en/matches/36e547b6/Valladolid-Real-Sociedad-September-13-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga,es ESP,25-180,90,4,0,4,100.0,0.5,10,19,52.6,29,3,48.3,37.1,7,71.4,48.6,12,0,0.0,2,19.7,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
1,Thibaut Courtois,RealM,Madrid,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga,be BEL,28-132,90,1,0,1,100.0,0.1,2,9,22.2,30,4,20.0,33.1,6,50.0,37.3,5,0,0.0,0,8.0,/en/matches/9ff705c3/Real-Sociedad-Real-Madrid-September-20-2020-La-Liga
13,Édgar Badía,Elche,3-4-3,/en/matches/970ca4d6/Elche-Real-Sociedad-September-26-2020-La-Liga,es ESP,28-227,90,6,3,4,66.7,2.8,6,19,31.6,32,4,34.4,33.9,9,88.9,56.6,17,2,11.8,2,18.8,/en/matches/970ca4d6/Elche-Real-Sociedad-September-26-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/970ca4d6/Elche-Real-Sociedad-September-26-2020-La-Liga,es ESP,25-186,90,2,0,2,100.0,1.7,3,6,50.0,17,0,29.4,34.5,2,50.0,44.5,7,0,0.0,1,15.3,/en/matches/970ca4d6/Elche-Real-Sociedad-September-26-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/543c20ca/Real-Sociedad-Valencia-September-29-2020-La-Liga,es ESP,25-189,90,5,1,4,80.0,1.4,7,12,58.3,21,3,57.1,43.9,2,0.0,31.5,5,0,0.0,0,7.0,/en/matches/543c20ca/Real-Sociedad-Valencia-September-29-2020-La-Liga
1,Jaume Doménech,Valencia,4-4-2,/en/matches/543c20ca/Real-Sociedad-Valencia-September-29-2020-La-Liga,es ESP,29-329,90,3,0,3,100.0,0.9,12,25,48.0,24,8,58.3,44.3,11,100.0,66.9,13,0,0.0,0,9.1,/en/matches/543c20ca/Real-Sociedad-Valencia-September-29-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/913d2329/Real-Sociedad-Getafe-October-3-2020-La-Liga,es ESP,25-193,90,1,0,1,100.0,0.2,8,13,61.5,16,1,56.3,45.3,4,100.0,66.5,9,0,0.0,1,20.8,/en/matches/913d2329/Real-Sociedad-Getafe-October-3-2020-La-Liga
13,David Soria,Getafe,4-4-2,/en/matches/913d2329/Real-Sociedad-Getafe-October-3-2020-La-Liga,es ESP,27-182,90,5,3,3,60.0,2.8,12,32,37.5,27,0,96.3,59.1,9,66.7,45.6,5,0,0.0,1,22.0,/en/matches/913d2329/Real-Sociedad-Getafe-October-3-2020-La-Liga
25,Claudio Bravo,Betis,4-2-3-1,/en/matches/4794b1a6/Real-Betis-Real-Sociedad-October-18-2020-La-Liga,cl CHI,37-188,90,4,3,1,50.0,2.6,11,24,45.8,35,3,60.0,45.4,6,50.0,43.3,7,0,0.0,1,22.5,/en/matches/4794b1a6/Real-Betis-Real-Sociedad-October-18-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/4794b1a6/Real-Betis-Real-Sociedad-October-18-2020-La-Liga,es ESP,25-208,90,1,0,1,100.0,0.3,13,28,46.4,43,1,53.5,43.0,10,50.0,44.1,4,1,25.0,0,14.6,/en/matches/4794b1a6/Real-Betis-Real-Sociedad-October-18-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/ded16731/Real-Sociedad-Huesca-October-25-2020-La-Liga,es ESP,25-215,90,4,1,3,75.0,0.5,5,15,33.3,32,5,40.6,36.6,2,100.0,73.5,5,1,20.0,0,12.4,/en/matches/ded16731/Real-Sociedad-Huesca-October-25-2020-La-Liga
25,Andrés Fernández,Huesca,4-4-2,/en/matches/ded16731/Real-Sociedad-Huesca-October-25-2020-La-Liga,es ESP,33-313,90,4,4,1,25.0,2.0,7,18,38.9,25,3,52.0,39.3,9,55.6,44.1,5,0,0.0,0,15.5,/en/matches/ded16731/Real-Sociedad-Huesca-October-25-2020-La-Liga
13,Rubén Blanco,Celta,Vigo,/en/matches/9532015b/Celta-Vigo-Real-Sociedad-November-1-2020-La-Liga,es ESP,25-099,90,7,4,3,42.9,4.0,5,14,35.7,25,5,56.0,38.6,4,0.0,20.0,7,0,0.0,0,12.6,/en/matches/9532015b/Celta-Vigo-Real-Sociedad-November-1-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/9532015b/Celta-Vigo-Real-Sociedad-November-1-2020-La-Liga,es ESP,25-222,90,1,1,1,100.0,1.0,8,15,53.3,29,4,34.5,35.0,7,71.4,54.0,5,0,0.0,0,14.8,/en/matches/9532015b/Celta-Vigo-Real-Sociedad-November-1-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/910d9fc9/Real-Sociedad-Granada-November-8-2020-La-Liga,es ESP,25-229,90,0,0,0,,0.7,2,5,40.0,16,4,18.8,27.6,3,66.7,51.3,2,1,50.0,0,18.0,/en/matches/910d9fc9/Real-Sociedad-Granada-November-8-2020-La-Liga
41,Ángel,Granada,4-2-3-1,/en/matches/910d9fc9/Real-Sociedad-Granada-November-8-2020-La-Liga,es ESP,18-139,90,7,2,6,85.7,2.7,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,14.3,/en/matches/910d9fc9/Real-Sociedad-Granada-November-8-2020-La-Liga
1,Jeremías Ledesma,Cádiz,4-4-2,/en/matches/4758cb68/Cadiz-Real-Sociedad-November-22-2020-La-Liga,ar ARG,27-283,90,4,1,3,75.0,1.7,9,26,34.6,19,3,89.5,61.2,9,100.0,70.0,11,1,9.1,0,15.8,/en/matches/4758cb68/Cadiz-Real-Sociedad-November-22-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/4758cb68/Cadiz-Real-Sociedad-November-22-2020-La-Liga,es ESP,25-243,90,0,0,0,,0.0,6,11,54.5,22,4,36.4,30.4,7,42.9,38.1,5,1,20.0,1,18.8,/en/matches/4758cb68/Cadiz-Real-Sociedad-November-22-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/26b79011/Real-Sociedad-Villarreal-November-29-2020-La-Liga,es ESP,25-250,90,1,1,1,100.0,0.8,10,20,50.0,34,4,47.1,39.7,6,66.7,54.3,12,1,8.3,0,10.6,/en/matches/26b79011/Real-Sociedad-Villarreal-November-29-2020-La-Liga
1,Sergio Asenjo,Villarreal,4-4-2,/en/matches/26b79011/Real-Sociedad-Villarreal-November-29-2020-La-Liga,es ESP,31-154,90,3,1,3,100.0,1.4,1,15,6.7,29,7,48.3,39.8,1,100.0,75.0,10,1,10.0,0,11.0,/en/matches/26b79011/Real-Sociedad-Villarreal-November-29-2020-La-Liga
1,Fernando Pacheco,Alavés,4-4-2,/en/matches/16108fee/Alaves-Real-Sociedad-December-6-2020-La-Liga,es ESP,28-202,90,4,0,4,100.0,1.4,18,29,62.1,24,0,79.2,50.0,11,90.9,62.5,14,1,7.1,0,9.0,/en/matches/16108fee/Alaves-Real-Sociedad-December-6-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/16108fee/Alaves-Real-Sociedad-December-6-2020-La-Liga,es ESP,25-257,90,1,0,1,100.0,0.0,8,12,66.7,26,2,26.9,29.8,6,83.3,60.7,4,1,25.0,0,13.7,/en/matches/16108fee/Alaves-Real-Sociedad-December-6-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/515bf2be/Real-Sociedad-Eibar-December-13-2020-La-Liga,es ESP,25-264,90,4,1,3,75.0,0.9,5,27,18.5,34,4,50.0,40.5,12,83.3,60.6,20,0,0.0,2,19.2,/en/matches/515bf2be/Real-Sociedad-Eibar-December-13-2020-La-Liga
1,Marko Dmitrović,Eibar,4-4-2,/en/matches/515bf2be/Real-Sociedad-Eibar-December-13-2020-La-Liga,rs SRB,28-324,90,2,1,1,50.0,0.2,13,22,59.1,24,1,66.7,56.0,6,100.0,73.8,4,0,0.0,1,16.7,/en/matches/515bf2be/Real-Sociedad-Eibar-December-13-2020-La-Liga
1,Marc-André ter Stegen,Barcelona,4-2-3-1,/en/matches/be0928c2/Barcelona-Real-Sociedad-December-16-2020-La-Liga,de GER,28-230,90,5,1,4,80.0,1.7,13,23,56.5,33,1,57.6,43.5,4,100.0,66.8,2,0,0.0,1,21.5,/en/matches/be0928c2/Barcelona-Real-Sociedad-December-16-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/be0928c2/Barcelona-Real-Sociedad-December-16-2020-La-Liga,es ESP,25-267,90,4,2,2,50.0,1.5,14,25,56.0,39,4,56.4,42.4,5,60.0,47.0,3,0,0.0,0,12.2,/en/matches/be0928c2/Barcelona-Real-Sociedad-December-16-2020-La-Liga
